EGL has 28 confugurations availabel
Configuration  R   G   B   A   bpp
  0            8   8   8   8   32
  1            8   8   8   x   24
  2            8   8   8   8   32
  3            8   8   8   x   24
  4            8   8   8   8   32
  5            8   8   8   x   24
  6            8   8   8   8   32
  7            8   8   8   x   24
  8            8   8   8   8   32
  9            8   8   8   x   24
 10            8   8   8   8   32
 11            8   8   8   x   24
 12            8   8   8   8   32
 13            8   8   8   x   24
 14            8   8   8   8   32
 15            8   8   8   x   24
 16            5   5   6   x   16
 17            5   5   6   x   16
 18            5   5   6   x   16
 19            5   5   6   x   16
 20            5   5   6   x   16
 21            5   5   6   x   16
 22            5   5   6   x   16
 23            5   5   6   x   16
 24            8   8   8   8   32
 25            8   8   8   x   24
 26            5   5   6   x   16
 27            5   5   6   x   16
initialize_egl OK
finalize_egl OK
